"";"satz";"inhalt";"satzlaenge"
"10113";115;"Aber es war doch ein Bild, wie sich jetzt zeigte, das Brustbild eines etwa fünfzigjährigen Mannes.";16
"10114";116;"Den Kopf hielt er so tief auf die Brust gesenkt, daß man kaum etwas von den Augen sah, entscheidend für die Senkung schien die hohe, lastende Stirn und die starke, hinabgekrümmte Nase.";32
"10115";117;"Der Vollbart, infolge der Kopfhaltung am Kinn eingedrückt, stand weiter unten ab.";12
"10116";118;"Die linke Hand lag gespreizt in den vollen Haaren, konnte aber den Kopf nicht mehr heben.";16
"10117";119;"»Wer ist das?«";3
"10118";120;"fragte K.";2
"10119";121;"»Der Graf?«";2
"10120";122;"K. stand vor dem Bild und blickte sich gar nicht nach dem Wirt um.";14
"10121";123;"»Nein«, sagte der Wirt, »der Kastellan.« – »Einen schönen Kastellan haben sie im Schloß, das ist wahr«, sagte K., »schade, daß er einen so mißratenen Sohn hat.« – »Nein«, sagte der Wirt, zog K. ein wenig zu sich herunter und flüsterte ihm ins Ohr: »Schwarzer hat gestern übertrieben, sein Vater ist nur ein Unterkastellan und sogar einer der letzten.«";57
"10122";124;"In diesem Augenblick kam der Wirt K. wie ein Kind vor.";11
"10123";125;"»Der Lump!«";2
"10124";126;"sagte K. lachend, aber der Wirt lachte nicht mit, sondern sagte: »Auch sein Vater ist mächtig.« – »Geh!«";17
"10125";127;"sagte K.";2
"10126";128;"»Du hältst jeden für mächtig.";5
"10127";129;"Mich etwa auch?« – »Dich«, sagte er schüchtern, aber ernsthaft, »halte ich nicht für mächtig.« – »Du verstehst also doch recht gut zu beobachten«, sagte K., »mächtig bin ich nämlich, im Vertrauen gesagt, wirklich nicht.";33
"10128";130;"Und habe infolgedessen vor den Mächtigen wahrscheinlich nicht weniger Respekt als du, nur bin ich nicht so aufrichtig wie du und will es nicht immer eingestehen.«";26
"10129";131;"Und K. klopfte dem Wirt, um ihn zu trösten und sich geneigter zu machen, leicht auf die Wange.";18
"10130";132;"Nun lächelte er doch ein wenig.";6
"10131";133;"Er war wirklich ein Junge mit seinem weichen, fast bartlosen Gesicht.";11
"10132";134;"Wie war er zu seiner breiten, ältlichen Frau gekommen, die man nebenan hinter einem Guckfenster, weit die Ellenbogen vom Leib, in der Küche hantieren sah?";25
"10133";135;"K. wollte aber jetzt nicht mehr weiter in ihn dringen, das endlich bewirkte Lächeln nicht verjagen.";16
"10134";136;"Er gab ihm also nur noch einen Wink, ihm die Tür zu öffnen, und trat in den schönen Wintermorgen hinaus.";20
"10135";137;"Nun sah er oben das Schloß deutlich umrissen in der klaren Luft und noch verdeutlicht durch den alle Formen nachbildenden, in dünner Schicht überall liegenden Schnee.";26
"10136";138;"Übrigens schien oben auf dem Berg viel weniger Schnee zu sein als hier im Dorf, wo sich K. nicht weniger mühsam vorwärts brachte als gestern auf der Landstraße.";28
"10137";139;"Hier reichte der Schnee bis zu den Fenstern der Hütten und lastete gleich wieder auf dem niedrigen Dach, aber oben auf dem Berg ragte alles frei und leicht empor, wenigstens schien es so von hier aus.";36
"10138";140;"Im ganzen entsprach das Schloß, wie es sich hier von der Ferne zeigte, K.s Erwartungen.";15
"10139";141;"Es war weder eine alte Ritterburg noch ein neuer Prunkbau, sondern eine ausgedehnte Anlage, die aus wenigen zweistöckigen, aber aus vielen eng aneinander stehenden niedrigen Bauten bestand; hätte man nicht gewußt, daß es ein Schloß sei, hätte man es für ein Städtchen halten können.";44
"10140";142;"Nur einen Turm sah K., ob er zu einem Wohngebäude oder einer Kirche gehörte, war nicht zu erkennen.";18
"10141";143;"Schwärme von Krähen umkreisten ihn.";5
"10142";144;"Die Augen auf das Schloß gerichtet, ging K. weiter, nichts sonst kümmerte ihn.";13
"10143";145;"Aber im Näherkommen enttäuschte ihn das Schloß, es war doch nur ein recht elendes Städtchen, aus Dorfhäusern zusammengetragen, ausgezeichnet nur dadurch, daß vielleicht alles aus Stein gebaut war; aber der Anstrich war längst abgefallen, und der Stein schien abzubröckeln.";39
"10144";146;"Flüchtig erinnerte sich K. an sein Heimatstädtchen; es stand diesem angeblichen Schlosse kaum nach.";14
"10145";147;"Wäre es K. nur auf die Besichtigung angekommen, dann wäre es schade um die lange Wanderschaft gewesen und er hätte vernünftiger gehandelt, wieder einmal die alte Heimat zu besuchen, wo er schon so lange nicht gewesen war.";37
"10146";148;"Und er verglich in Gedanken den Kirchturm der Heimat mit dem Turm dort oben.";14
"10147";149;"Jener Turm, bestimmt, ohne Zögern geradewegs nach oben sich verjüngend, breitdachig, abschließend mit roten Ziegeln, ein irdisches Gebäude – was können wir anderes bauen? – aber mit höherem Ziel als die niedrige Häusermenge und mit klarerem Ausdruck, als ihn der trübe Werktag hat.";41
"10148";150;"Der Turm hier oben – es war der einzig sichtbare -, der Turm eines Wohnhauses, wie es sich jetzt zeigte, vielleicht des Hauptschlosses, war ein einförmiger Rundbau, zum Teil gnädig von Efeu verdeckt, mit kleinen Fenstern, die jetzt in der Sonne aufstrahlten – etwas Irrsinniges hatte das -, und einem söllerartigen Abschluß, dessen Mauerzinnen unsicher, unregelmäßig, brüchig, wie von ängstlicher oder nachlässiger Kinderhand gezeichnet, sich in den blauen Himmel zackten.";66
"10149";151;"Es war, wie wenn ein trübseliger Hausbewohner, der gerechterweise im entlegensten Zimmer des Hauses sich hätte eingesperrt halten sollen, das Dach durchbrochen und sich erhoben hätte, um sich der Welt zu zeigen.";32
"10150";152;"Wieder stand K. still, als hätte er im Stillestehen mehr Kraft des Urteils.";13
"10151";153;"Aber er wurde gestört.";4
"10152";154;"Hinter der Dorfkirche, bei der er stehengeblieben war – es war eigentlich nur eine Kapelle, scheunenartig erweitert, um die Gemeinde aufnehmen zu können -, war die Schule.";25
"10153";155;"Ein niedriges, langes Gebäude, merkwürdig den Charakter des Provisorischen und des sehr Alten vereinigend, lag es hinter einem umgitterten Garten, der jetzt ein Schneefeld war.";25
"10154";156;"Eben kamen die Kinder mit dem Lehrer heraus.";8
"10155";157;"In einem dichten Haufen umgaben sie den Lehrer, aller Augen blickten auf ihn, unaufhörlich schwatzten sie von allen Seiten, K. verstand ihr schnelles Sprechen gar nicht.";26
"10156";158;"Der Lehrer, ein junger, kleiner, schmalschulteriger Mensch, aber ohne daß es lächerlich wurde, sehr aufrecht, hatte K. schon von der Ferne ins Auge gefaßt, allerdings war außer seiner Gruppe K. der einzige Mensch weit und breit.";36
"10157";159;"K., als Fremder, grüßte zuerst, gar einen so befehlshaberischen kleinen Mann.";11
"10158";160;"»Guten Tag, Herr Lehrer«, sagte er.";6
"10159";161;"Mit einem Schlag verstummten die Kinder, diese plötzliche Stille als Vorbereitung für seine Worte mochte wohl dem Lehrer gefallen.";19
"10160";162;"»Ihr sehet das Schloß an?«";5
"10161";163;"fragte er sanftmütiger, als K. erwartet hatte, aber in einem Tone, als billige er nicht das, was K. tue.";19
"10162";164;"»Ja«, sagte K., »ich bin hier fremd, erst seit gestern abend im Ort.« – »Das Schloß gefällt Euch nicht?«";18
"10163";165;"fragte der Lehrer schnell.";4
"10164";166;"»Wie?«";1
"10165";167;"fragte K. zurück, ein wenig verblüfft, und wiederholte in milderer Form die Frage: »Ob mir das Schloß gefällt?";18
"10166";168;"Warum nehmt Ihr an, daß es mir nicht gefällt?« – »Keinem Fremden gefällt es«, sagte der Lehrer.";16
"10167";169;"Um hier nichts Unwillkommenes zu sagen, wendete K. das Gespräch und fragte: »Sie kennen wohl den Grafen?« – »Nein«, sagte der Lehrer und wollte sich abwenden.";25
"10168";170;"K. gab aber nicht nach und fragte nochmals: »Wie?";9
"10169";171;"Sie kennen den Grafen nicht?« – »Wie sollte ich ihn kennen?«";10
"10170";172;"sagte der Lehrer leise und fügte laut auf französisch hinzu: »Nehmen Sie Rücksicht auf die Anwesenheit unschuldiger Kinder.«";18
"10171";173;"K. holte daraus das Recht zu fragen: »Könnte ich Sie, Herr Lehrer, einmal besuchen?";14
"10172";174;"Ich bleibe längere Zeit hier und fühle mich schon jetzt ein wenig verlassen; zu den Bauern gehöre ich nicht und ins Schloß wohl auch nicht.« – »Zwischen den Bauern und dem Schloß ist kein großer Unterschied«, sagte der Lehrer.";38
"10173";175;"»Mag sein«, sagte K., »das ändert an meiner Lage nichts.";10
"10174";176;"Könnte ich Sie einmal besuchen?« – »Ich wohne in der Schwanengasse beim Fleischhauer.«";12
"10175";177;"Das war nun zwar mehr eine Adressenangabe als eine Einladung, dennoch sagte K.: »Gut, ich werde kommen.«";17
"10176";178;"Der Lehrer nickte und zog mit den gleich wieder losschreienden Kinderhaufen weiter.";12
"10177";179;"Sie verschwanden bald in einem jäh abfallenden Gäßchen.";8
"10178";180;"K. aber war zerstreut, durch das Gespräch verärgert.";8
"10179";181;"Zum erstenmal seit seinem Kommen fühlte er wirkliche Müdigkeit.";9
"10180";182;"Der weite Weg hierher schien ihn ursprünglich gar nicht angegriffen zu haben, wie war er durch die Tage gewandert, ruhig, Schritt für Schritt! – Jetzt aber zeigten sich doch die Folgen der übergroßen Anstrengung, zur Unzeit freilich.";36
"10181";183;"Es zog ihn unwiderstehlich hin, neue Bekanntschaften zu suchen, aber jede neue Bekanntschaft verstärkte die Müdigkeit.";16
"10182";184;"Wenn er sich in seinem heutigen Zustand zwang, seinen Spaziergang wenigstens bis zum Eingang des Schlosses auszudehnen, war übergenug getan.";20
"10183";185;"So ging er wieder vorwärts, aber es war ein langer Weg.";11
"10184";186;"Die Straße nämlich, die Hauptstraße des Dorfes, führte nicht zum Schloßberg, sie führte nur nahe heran, dann aber, wie absichtlich, bog sie ab, und wenn sie sich auch vom Schloß nicht entfernte, so kam sie ihm doch auch nicht näher.";40
"10185";187;"Immer erwartete K., daß nun endlich die Straße zum Schloß einlenken müsse und nur, weil er es erwartete, ging er weiter; offenbar infolge seiner Müdigkeit zögerte er, die Straße zu verlassen, auch staunte er über die Länge des Dorfes, das kein Ende nahm, immer wieder die kleinen Häuschen und vereisten Fensterscheiben und Schnee und Menschenleere – endlich riß er sich los von dieser festhaltenden Straße, ein schmales Gäßchen nahm ihn auf, noch tieferer Schnee, das Herausziehen der einsinkenden Füße war eine schwere Arbeit, Schweiß brach ihm aus, plötzlich stand er still und konnte nicht mehr weiter.";95
"10186";188;"Nun, er war ja nicht verlassen, rechts und links standen Bauernhütten.";11
"10187";189;"Er machte einen Schneeball und warf ihn gegen ein Fenster.";10
"10188";190;"Gleich öffnete sich die Türe – die erste sich öffnende Türe während des ganzen Dorfweges – und ein alter Bauer, in brauner Pelzjoppe, den Kopf seitwärts geneigt, freundlich und schwach, stand dort.";30
"10189";191;"»Darf ich ein wenig zu Euch kommen?«";7
"10190";192;"sagte K., »ich bin sehr müde.«";6
"10191";193;"Er hörte gar nicht, was der Alte sagte, dankbar nahm er es an, daß ihm ein Brett entgegengeschoben wurde, das ihn gleich aus dem Schnee rettete, und mit ein paar Schritten stand er in der Stube.";36
"10192";194;"Eine große Stube im Dämmerlicht.";5
"10193";195;"Der von draußen Kommende sah zuerst gar nichts.";8
"10194";196;"K. taumelte gegen einen Waschtrog, eine Frauenhand hielt ihn zurück.";10
"10195";197;"Aus einer Ecke kam viel Kindergeschrei.";6
"10196";198;"Aus einer anderen Ecke wälzte sich Rauch und machte aus dem Halblicht Finsternis.";13
"10197";199;"K. stand wie in Wolken.";5
"10198";200;"»Er ist ja betrunken«, sagte jemand.";6
"10199";201;"»Wer seid Ihr?«";3
"10200";202;"rief eine herrische Stimme und wohl zu dem Alten gewendet: »Warum hast du ihn hereingelassen?";15
"10201";203;"Kann man alles hereinlassen, was auf den Gassen herumschleicht?« – »Ich bin der gräfliche Landvermessen«, sagte K. und suchte sich so vor den noch immer Unsichtbaren zu verantworten.";27
"10202";204;"»Ach, es ist der Landvermesser«, sagte eine weibliche Stimme, und nun folgte eine vollkommene Stille.";15
"10203";205;"»Ihr kennt mich?«";3
"10204";206;"fragte K.";2
"10205";207;"»Gewiß«, sagte noch kurz die gleiche Stimme.";7
"10206";208;"Daß man K. kannte, schien ihn nicht zu empfehlen.";9
"10207";209;"Endlich verflüchtigte sich ein wenig der Rauch, und K. konnte sich langsam zurechtfinden.";13
"10208";210;"Es schien ein allgemeiner Waschtag zu sein.";7
"10209";211;"In der Nähe der Türe wurde Wäsche gewaschen.";8
"10210";212;"Der Rauch war aber aus der anderen Ecke gekommen, wo in einem Holzschaff, so groß, wie K. noch nie eines gesehen hatte – es hatte etwa den Umfang von zwei Betten -, in dampfendem Wasser zwei Männer badeten.";36
"10211";213;"Aber noch überraschender, ohne daß man genau wußte, worin das Überraschende bestand, war die rechte Ecke.";16
"10212";214;"Aus einer großen Lücke, der einzigen in der Stubenrückwand, kam dort, wohl vom Hof her, bleiches Schneelicht und gab dem Kleid einer Frau, die tief in der Ecke in einem hohen Lehnstuhl müde fast lag, einen Schein wie von Seide.";40
"10213";215;"Sie trug einen Säugling an der Brust.";7
"10214";216;"Um sie herum spielten ein paar Kinder, Bauernkinder, wie zu sehen war, sie aber schien nicht zu ihnen zu gehören, freilich, Krankheit und Müdigkeit macht auch Bauern fein.";28
"10215";217;"»Setzt Euch!«";2
"10216";218;"sagte der eine der Männer, ein Vollbärtiger, überdies mit einem Schnauzbart, unter dem er den Mund schnaufend immer offenhielt, zeigte, komisch anzusehen, mit der Hand über den Rand des Kübels auf eine Truhe hin und bespritzte dabei K. mit warmem Wasser das ganze Gesicht.";44
"10217";219;"Auf der Truhe saß schon, vor sich hin dämmernd, der Alte, der K. eingelassen hatte.";15
"10218";220;"K. war dankbar, sich endlich setzen zu dürfen.";8
"10219";221;"Nun kümmerte sich niemand mehr um ihn.";7
"10220";222;"Die Frau beim Waschtrog, blond, in jugendlicher Fülle, sang leise bei der Arbeit, die Männer im Bad stampften und drehten sich, die Kinder wollten sich ihnen nähern, wurden aber durch mächtige Wasserspritzer, die auch K. nicht verschonten, immer wieder zurückgetrieben, die Frau im Lehnstuhl lag wie leblos, nicht einmal auf das Kind an ihrer Brust blickte sie hinab, sondern unbestimmt in die Höhe.";63
"10221";223;"K. hatte sie wohl lange angesehen, dieses sich nicht verändernde schöne, traurige Bild, dann aber mußte er eingeschlafen sein, denn als er, von einer lauten Stimme gerufen, aufschreckte, lag sein Kopf an der Schulter des Alten neben ihm.";38
"10222";224;"Die Männer hatten ihr Bad beendet, in dem sich jetzt die Kinder, von der blonden Frau beaufsichtigt, herumtrieben, und standen angezogen vor K.";23
"10223";225;"Es zeigte sich, daß der schreierische Vollbärtige der Geringere von den zweien war.";13
"10224";226;"Der andere nämlich, nicht größer als der Vollbärtige und mit viel geringerem Bart, war ein stiller, langsam denkender Mann von breiter Gestalt, auch das Gesicht breit, den Kopf hielt er gesenkt.";31
"10225";227;"»Herr Landvermesser«, sagte er, »hier könnt Ihr nicht bleiben.";9
"10226";228;"Verzeiht die Unhöflichkeit.« – »Ich wollte auch nicht bleiben«, sagte K., »nur ein wenig mich ausruhen.";15
"10227";229;"Das ist geschehen, und nun gehe ich.« – »Ihr wundert Euch wahrscheinlich über die geringe Gastfreundlichkeit«, sagte der Mann, »aber Gastfreundlichkeit ist bei uns nicht Sitte, wir brauchen keine Gäste.«";29
"10228";230;"Ein wenig erfrischt vom Schlaf, ein wenig hellhöriger als früher, freute sich K. über die offenen Worte.";17
"10229";231;"Er bewegte sich freier, stützte seinen Stock einmal hier, einmal dort auf, näherte sich der Frau im Lehnstuhl, war übrigens auch der körperlich Größte im Zimmer.";26
"10230";232;"»Gewiß«, sagte K., »wozu brauchtet ihr Gäste.";7
"10231";233;"Aber hier und da braucht man doch einen, zum Beispiel mich, den Landvermesser.« – »Das weiß ich nicht«, sagte der Mann langsam, »hat man Euch gerufen, so braucht man Euch wahrscheinlich, das ist wohl eine Ausnahme, wir aber, wir kleinen Leute, halten uns an die Regel, das könnt Ihr uns nicht verdenken.« – »Nein, nein«, sagte K., »ich habe Euch nur zu danken, Euch und allen hier.«";65
"10232";234;"Und unerwartet für jedermann kehrte sich K. förmlich in einem Sprunge um und stand vor der Frau.";17
"10233";235;"Aus müden, blauen Augen blickte sie K. an, ein seidenes, durchsichtiges Kopftuch reichte ihr bis in die Mitte der Stirn hinab, der Säugling schlief an ihrer Brust.";27
"10234";236;"»Wer bist du?«";3
"10235";237;"fragte K.";2
"10236";238;"Wegwerfend – es war undeutlich, ob die Verächtlichkeit K. oder ihrer eigenen Antwort galt – sagte sie: »Ein Mädchen aus dem Schloß.«";20
"10237";239;"Das alles hatte nur einen Augenblick gedauert, schon hatte K. rechts und links einen der Männer und wurde, als gäbe es kein anderes Verständigungsmittel, schweigend, aber mit aller Kraft zur Tür gezogen.";32
"10238";240;"Der Alte freute sich über irgend etwas dabei und klatschte in die Hände.";13
"10239";241;"Auch die Wäscherin lachte bei den plötzlich wie toll lärmenden Kindern.";11
"10240";242;"K. aber stand bald auf der Gasse, die Männer beaufsichtigten ihn von der Schwelle aus.";15
"10241";243;"Es fiel wieder Schnee; trotzdem schien es ein wenig heller zu sein.";12
"10242";244;"Der Vollbärtige rief ungeduldig: »Wohin wollt Ihr gehen?";8
"10243";245;"Hier führt es zum Schloß, hier zum Dorf.«";8
"10244";246;"Ihm antwortete K. nicht, aber zu dem anderen, der ihm trotz seiner Überlegenheit der Umgänglichere schien, sagte er: »Wer seid Ihr?";21
"10245";247;"Wem habe ich für den Aufenthalt zu danken?« – »Ich bin der Gerbermeister Lasemann«, war die Antwort, »zu danken habt Ihr aber niemandem.« – »Gut«, sagte K., »vielleicht werden wir noch zusammenkommen.« – »Ich glaube nicht«, sagte der Mann.";36
"10246";248;"In diesem Augenblick rief der Vollbärtige mit erhobener Hand: »Guten Tag, Artur, guten Tag, Jeremias!«";15
"10247";249;"K. wandte sich um, es zeigten sich in diesem Dorf also doch noch Menschen auf der Gasse!";17
"10248";250;"Aus der Richtung vom Schlosse her kamen zwei junge Männer von mittlerer Größe, beide sehr schlank, in engen Kleidern, auch im Gesicht einander sehr ähnlich.";25
"10249";251;"Die Gesichtsfarbe war ein dunkles Braun, von dem ein Spitzbart in seiner besonderen Schwärze dennoch abstach.";16
"10250";252;"Sie gingen bei diesen Straßenverhältnissen erstaunlich schnell, warfen im Takt die schlanken Beine.";13
"10251";253;"»Was habt ihr?«";3
"10252";254;"rief der Vollbärtige.";3
"10253";255;"Man konnte sich nur rufend mit ihnen verständigen, so schnell gingen sie und hielten nicht ein.";16
"10254";256;"»Geschäfte!«";1
"10255";257;"riefen sie lachend zurück.";4
"10256";258;"»Wo?« – »Im Wirtshaus.« – »Dorthin gehe auch ich!«";7
"10257";259;"schrie K. auf einmal mehr als alle anderen, er hatte großes Verlangen, von den zweien mitgenommen zu werden; ihre Bekanntschaft schien ihm zwar nicht sehr ergiebig, aber gute, aufmunternde Wegbegleiter waren sie offenbar.";33
"10258";260;"Sie hörten K.s Worte, nickten jedoch nur und waren schon vorüber.";11
"10259";261;"K. stand noch immer im Schnee, hatte wenig Lust, den Fuß aus dem Schnee zu heben, um ihn ein Stückchen weiter in die Tiefe zu senken; der Gerbermeister und sein Genosse, zufrieden damit, K. endgültig hinausgeschafft zu haben, schoben sich langsam, immer nach K. zurückblickend, durch die nur wenig geöffnete Tür ins Haus, und K. war mit dem ihn einhüllenden Schnee allein.";62
"10260";262;"»Gelegenheit zu einer kleinen Verzweiflung«, fiel ihm ein, »wenn ich nur zufällig, nicht absichtlich hier stünde.«";16
"10261";263;"Da öffnete sich in der Hütte linker Hand ein winziges Fenster; geschlossen hatte es tiefblau ausgesehen, vielleicht im Widerschein des Schnees, und war so winzig, daß, als es jetzt geöffnet war, nicht das ganze Gesicht des Hinausschauenden zu sehen war, sondern nur die Augen, alte, braune Augen.";47
"10262";264;"»Dort steht er«, hörte K. eine zittrige Frauenstimme sagen.";9
"10263";265;"»Es ist der Landvermesser«, sagte eine Männerstimme.";7
"10264";266;"Dann trat der Mann zum Fenster und fragte nicht unfreundlich, aber doch so, als sei ihm daran gelegen, daß auf der Straße vor seinem Haus alles in Ordnung sei: »Auf wen wartet Ihr?« – »Auf einen Schlitten, der mich mitnimmt«, sagte K.";41
"10265";267;"»Hier kommt kein Schlitten«, sagte der Mann, »hier ist kein Verkehr.«";11
"10266";268;"»Es ist doch die Straße, die zum Schloß führt«, wendete K. ein.";12
"10267";269;"»Trotzdem, trotzdem«, sagte der Mann mit einer gewissen Unerbittlichkeit, »hier ist kein Verkehr.«";13
"10268";270;"Dann schwiegen beide.";3
"10269";271;"Aber der Mann überlegte offenbar etwas, denn das Fenster, aus dem Rauch strömte, hielt er noch immer offen.";18
"10270";272;"»Ein schlechter Weg«, sagte K., um ihm nachzuhelfen.";8
"10271";273;"Er aber sagte nur: »Ja freilich.«";6
"10272";274;"Nach einem Weilchen sagte er aber doch: »Wenn Ihr wollt, fahre ich Euch mit meinem Schlitten.« – »Tut das, bitte«, sagte K. erfreut, »wieviel verlangt Ihr dafür?« – »Nichts«, sagte der Mann.";30
"10273";275;"K. wunderte sich sehr.";4
"10274";276;"»Ihr seid doch der Landvermesser«, sagte der Mann erklärend, »und gehört zum Schloß.";13
"10275";277;"Wohin wollt Ihr denn fahren?« – »Ins Schloß«, sagte K. schnell.";10
"10276";278;"»Dann fahre ich nicht«, sagte der Mann sofort.";8
"10277";279;"»Ich gehöre doch zum Schloß«, sagte K., des Mannes eigene Worte wiederholend.";12
"10278";280;"»Mag sein«, sagte der Mann abweisend.";6
"10279";281;"»Dann fahrt mich also zum Wirtshaus«, sagte K.";8
"10280";282;"»Gut«, sagte der Mann, »ich komme gleich mit dem Schlitten.«";10
"10281";283;"Das Ganze machte nicht den Eindruck besonderer Freundlichkeit, sondern eher den einer Art sehr eigensüchtigen, ängstlichen, fast pedantischen Bestrebens, K. von dem Platz vor dem Hause wegzuschaffen.";27
"10282";284;"Das Hoftor öffnete sich, und ein kleiner Schlitten für leichte Lasten, ganz flach, ohne irgendwelchen Sitz, von einem schwachen Pferdchen gezogen, kam hervor, dahinter der Mann, gebückt, schwach, hinkend, mit magerem, rotem, verschnupftem Gesicht, das besonders klein erschien durch einen fest um den Kopf gewickelten Wollschal.";46
"10283";285;"Der Mann war sichtlich krank und nur, um K. wegbefördern zu können, war er doch hervorgekommen.";16
"10284";286;"K. erwähnte etwas Derartiges, aber der Mann winkte ab.";9
"10285";287;"Nur daß er der Fuhrmann Gerstäcker war, erfuhr K., und daß er diesen unbequemen Schlitten genommen habe, weil er gerade bereitstand und das Hervorziehen eines anderen zuviel Zeit gebraucht hätte.";30
"10286";288;"»Setzt Euch«, sagte er und zeigte mit der Peitsche hinten auf den Schlitten.";13
"10287";289;"»Ich werde mich neben Euch setzen«, sagte K.";8
"10288";290;"»Ich werde gehen«, sagte Gerstäcker.";5
"10289";291;"»Warum denn?«";2
"10290";292;"fragte K.";2
"10291";293;"»Ich werde gehen«, wiederholte Gerstäcker und bekam einen Hustenanfall, der ihn so schüttelte, daß er die Beine in den Schnee stemmen und mit den Händen den Schlittenrand halten mußte.";29
"10292";294;"K. sagte nichts weiter, setzte sich hinten auf den Schlitten, der Husten beruhigte sich langsam und sie fuhren.";18
"10293";295;"Das Schloß dort oben, merkwürdig dunkel schon, das K. heute noch zu erreichen gehofft hatte, entfernte sich wieder.";18
"10294";296;"Als sollte ihm aber doch noch zum vorläufigen Abschied ein Zeichen gegeben werden, erklang dort ein Glockenton, fröhlich beschwingt eine Glocke, die wenigstens einen Augenblick lang das Herz erbeben ließ, so, als drohe ihm – denn auch schmerzlich war der Klang – die Erfüllung dessen, wonach es sich unsicher sehnte.";48
"10295";297;"Aber bald verstummte diese große Glocke und wurde von einem schwachen, eintönigen Glöckchen abgelöst, vielleicht noch oben, vielleicht aber schon im Dorfe.";22
"10296";298;"Dieses Geklingel paßte freilich besser zu der langsamen Fahrt und dem jämmerlichen, aber unerbittlichen Fuhrmann.";15
"10297";299;"»Du«, rief K. plötzlich – sie waren schon in der Nähe der Kirche, der Weg ins Wirtshaus nicht mehr weit, K. durfte schon etwas wagen -, »ich wundere mich sehr, daß du auf deine eigene Verantwortung mich herumzufahren wagst, darfst du denn das?«";41
"10298";300;"Gerstäcker kümmerte sich nicht darum und schritt ruhig weiter neben dem Pferdchen.";12
"10299";301;"»He!«";1
"10300";302;"rief K., ballte etwas Schnee vom Schlitten zusammen und traf Gerstäcker damit voll ins Ohr.";15
"10301";303;"Nun blieb dieser stehen und drehte sich um; als ihn K. aber nun so nahe bei sich sah – der Schlitten hatte sich noch ein wenig weitergeschoben -, diese gebückte, gewissermaßen mißhandelte Gestalt, das rote müde, schmale Gesicht mit irgendwie verschiedenen Wangen, die eine flach, die andere eingefallen, den offenen, aufhorchenden Mund, in dem nur ein paar vereinzelte Zähne waren, mußte er das, was er früher aus Bosheit gesagt hatte, jetzt aus Mitleid wiederholen, ob Gerstäcker nicht dafür, daß er K. transportierte, gestraft werden könne.";83
"10302";304;"»Was willst du?«";3
"10303";305;"fragte Gerstäcker verständnislos, erwartete aber auch keine weitere Erklärung, rief dem Pferdchen zu, und sie fuhren wieder.";17
"10304";306;"Als sie – K. erkannte es an einer Wegbiegung – fast beim Wirtshaus waren, war es zu seinem Erstaunen schon völlig finster.";20
"10305";307;"War er so lange fort gewesen?";6
"10306";308;"Doch nur ein, zwei Stunden etwa nach seiner Berechnung, und am Morgen war er fortgegangen, und kein Essenbedürfnis hatte er gehabt, und bis vor kurzem war gleichmäßige Tageshelle gewesen, erst jetzt die Finsternis.";33
"10307";309;"»Kurze Tage, kurze Tage!«";4
"10308";310;"sagte er zu sich, glitt vom Schlitten und ging dem Wirtshaus zu.";12
"10309";311;"Oben auf der kleinen Vortreppe des Hauses stand, ihm sehr willkommen, der Wirt und leuchtete mit erhobener Laterne ihm entgegen.";20
"10310";312;"Flüchtig an den Fuhrmann sich erinnernd, blieb K. stehen, irgendwo hustete es im Dunkeln, das war er.";17
"10311";313;"Nun, er würde ihn ja nächstens wiedersehen.";7
"10312";314;"Erst als er oben beim Wirt war, der demütig grüßte, bemerkte er zu beiden Seiten der Tür je einen Mann.";20
"10313";315;"Er nahm die Laterne aus der Hand des Wirts und beleuchtete die zwei; es waren die Männer, die er schon getroffen hatte und die Artur und Jeremias angerufen worden waren.";30
"10314";316;"Sie salutierten jetzt.";3
"10315";317;"In Erinnerung an seine Militärzeit, an diese glücklichen Zeiten, lachte er.";11
"10316";318;"»Wer seid ihr?«";3
"10317";319;"fragte er und sah vom einen zum anderen.";8
"10318";320;"»Euere Gehilfen«, antworteten sie.";4
"10319";321;"»Es sind die Gehilfen«, bestätigte leise der Wirt.";8
"10320";322;"»Wie?«";1
"10321";323;"fragte K.";2
"10322";324;"»Ihr seid meine alten Gehilfen, die ich nachkommen ließ, die ich erwarte?«";12
"10323";325;"Sie bejahten es.";3
"10324";326;"»Das ist gut«, sagte K. nach einem Weilchen, »es ist gut, daß ihr gekommen seid.« – »Übrigens«, sagte K. nach einem weiteren Weilchen, »ihr habt euch sehr verspätet, ihr seid sehr nachlässig.«";31
"10325";327;"»Es war ein weiter Weg«, sagte der eine.";8
"10326";328;"»Ein weiter Weg«, wiederholte K., »aber ich habe euch getroffen, wie ihr vom Schlosse kamt.« – »Ja« sagten sie, ohne weitere Erklärung.";21
"10327";329;"»Wo habt ihr die Apparate?«";5
"10328";330;"fragte K.";2
"10329";331;"»Wir haben keine«, sagten sie.";5
"10330";332;"»Die Apparate, die ich euch anvertraut habe«, sagte K.";9
"10331";333;"»Wir haben keine«, wiederholten sie.";5
"10332";334;"»Ach, seid ihr Leute!«";4
"10333";335;"sagte K., »versteht ihr etwas von Landvermessung?« – »Nein«, sagten sie.";10
"10334";336;"»Wenn ihr aber meine alten Gehilfen seid, müßt ihr doch das verstehen«, sagte K. und schob sie vor sich ins Haus.";21
